"Change to directory 'dir'","cd dir"
"Change to home directory","cd"
"List all content in current directory including hidden","ls -a"
"List content in current directory by modified date","ls -t"
"Remove directory 'dir' by force","rm -rf dir"
"Show current working directory","pwd"
"Change to previous working directory","cd -"
"Remove directory dir and all its contents","rm -r dir"
"List content in current directory","ls"
"Copy directory 'dir1' to directory 'dir2'","cp -a dir1 dir2"
"Make directory 'dir'","mkdir dir"
